Model,Buffer Size,Acc_A_after_A,Acc_A_after_B,Forgetting,BWT
LargeCNN,100,99.5524421093598,54.290718038528894,45.26172407083091,-45.26172407083091
SmallCNN,100,99.57190114808328,60.96516832068496,38.606732827398325
LargeCNN,500,99.59136018680677,90.6791204514497,8.912239735357062,-8.912239735357062
SmallCNN,500,99.70811441914769,87.35162482973341,12.35648958941428
LargeCNN,1000,99.47460595446584,90.60128429655575,8.873321657910097,-8.873321657910097
SmallCNN,1000,99.47460595446584,90.85425179996108,8.620354154504767
LargeCNN,2000,99.5524421093598,96.92547188168905,2.6269702276707534,-2.6269702276707534
SmallCNN,2000,99.5329830706363,94.2790426152948,5.253940455341507
